,element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
52,Cl,2,609.469,609.468,1900,160000000.0,D,129066.96,145470.16,3s2.3p3.(2D*).4s,1D*,2,3s2.3p3.(2D*).4p,1P,1,,T1619CA,L1617
53,Cl,1,791.508,791.5082,1800,12000000.0,D,83364.927,95995.561,3s2.3p4.(3P).4p,4P*,1/2,3s2.3p4.(3P<2>).4d,2[1],1/2,,T1277LS,L298
54,Cl,1,783.075,783.0745,1700,39000000.0,D,83130.9,95897.565,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P<2>).4d,2[2],3/2,,T8043,L298
55,Cl,1,793.5012,793.5012,1700,31000000.0,D,84132.262,96731.172,3s2.3p4.(3P).4p,4D*,5/2,3s2.3p4.(3P<2>).4d,2[4],7/2,,T8043,L298
56,Cl,1,808.451,808.4509,1700,17000000.0,E,84120.263,96486.198,3s2.3p4.(1D).4s,2D,5/2,3s2.3p4.(1D).4p,2D*,3/2,,"T1277,T1619CA,LS",L298
57,Cl,2,448.991,,1500,,,,,,,,,,,,,L1617
58,Cl,1,797.472,,1500,,,,,,,,,,,,,L298
59,Cl,2,666.167,,1400,,,,,,,,,,,,,L1617
60,Cl,1,797.697,797.6972,1300,16000000.0,D,83364.927,95897.565,3s2.3p4.(3P).4p,4P*,1/2,3s2.3p4.(3P<2>).4d,2[2],3/2,,T1277LS,L298
61,Cl,1,808.773,808.7725,1300,17000000.0,E,84121.872,96482.889,3s2.3p4.(1D).4s,2D,3/2,3s2.3p4.(1D).4p,2D*,5/2,,"T1277,T1619CA,LS",L298
62,Cl,2,668.602,,1300,,,,,,,,,,,,,L1617
63,Cl,2,671.341,,1200,,,,,,,,,,,,,L1617
64,Cl,1,802.333,,1100,,,,,,,,,,,,,L298
65,Cl,2,836.071,836.07,1000,55000000.0,E,119811.22,131768.66,3s2.3p3.(4S*).3d,3D*,3,3s2.3p3.(4S*).4p,3P,2,,"T1619CA,LS",L1617
66,Cl,1,820.378,,800,,,,,,,,,,,,,L298
67,Cl,1,857.802,,750,,,,,,,,,,,,,L298
68,Cl,1,749.2118,,700,,,,,,,,,,,,,L298
69,Cl,1,777.109,777.1094,650,4800000.0,E,83130.9,95995.561,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P<2>).4d,2[1],1/2,,T1277LS,L298
70,Cl,1,795.252,,650,,,,,,,,,,,,,L298
71,Cl,1,798.06,798.0597,600,6400000.0,E,71958.363,84485.309,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,4D*,3/2,,"T1277n,T1619CA,LS",L298
72,Cl,1,708.6814,,600,,,,,,,,,,,,,L298
73,Cl,2,836.184,836.184,560,29000000.0,E,119800.32,131756.12,3s2.3p3.(4S*).3d,3D*,2,3s2.3p3.(4S*).4p,3P,1,,"T1619CA,LS",L1617
74,Cl,1,748.947,,550,,,,,,,,,,,,,L298
75,Cl,1,746.237,,550,,,,,,,,,,,,,L298
76,Cl,1,770.2828,770.2829,450,2200000.0,E,82918.893,95897.565,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P<2>).4d,2[2],3/2,,T1277LS,L298
77,Cl,1,862.854,,450,,,,,,,,,,,,,L298
78,Cl,1,840.6199,,400,,,,,,,,,,,,,L298
79,Cl,1,805.107,,400,,,,,,,,,,,,,L298
80,Cl,1,864.171,,300,,,,,,,,,,,,,L298
81,Cl,1,698.1886,,300,,,,,,,,,,,,,L298
82,Cl,1,693.2903,,300,,,,,,,,,,,,,L298
83,Cl,1,809.467,,250,,,,,,,,,,,,,L298
84,Cl,1,789.334,,220,,,,,,,,,,,,,L298
85,Cl,1,614.0245,,200,,,,,,,,,,,,,L298
86,Cl,2,838.267,838.267,180,13000000.0,E,119843.31,131769.41,3s2.3p3.(4S*).3d,3D*,1,3s2.3p3.(4S*).4p,3P,0,,"T1619CA,LS",L1617
87,Cl,1,639.866,,160,,,,,,,,,,,,,L298
88,Cl,1,619.4757,,160,,,,,,,,,,,,,L298
89,Cl,1,611.443,,160,,,,,,,,,,,,,L298
90,Cl,1,667.843,,150,,,,,,,,,,,,,L298
91,Cl,1,653.143,,150,,,,,,,,,,,,,L298
92,Cl,1,643.4833,,150,,,,,,,,,,,,,L298
93,Cl,1,684.029,,150,,,,,,,,,,,,,L298
94,Cl,1,436.327,436.3268,100,4100000.0,D,72488.568,95400.731,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).5p,4D*,5/2,,T8043,L298
95,Cl,1,443.849,443.8488,100,8400000.0,D,71958.363,94482.236,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).5p,4P*,5/2,,"T1277,T694",L298
